ticker,company_name,sector,industry,market_cap,country,exchange,yahoo_ticker,stock_id,is_active
CANBK.NS,Canara Bank,Financial Services,Financial Services,Large Cap,India,NSE,CANBK.NS,23,True
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,CHOLAFIN.NS,24,True
CIPLA.NS,Cipla Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,CIPLA.NS,25,True
COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Large Cap,India,NSE,COALINDIA.NS,26,True
CUMMINSIND.NS,Cummins India Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,CUMMINSIND.NS,27,True
DLF.NS,DLF Ltd.,Realty,Realty,Large Cap,India,NSE,DLF.NS,28,True
DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,DIVISLAB.NS,29,True
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,DRREDDY.NS,30,True
EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,EICHERMOT.NS,31,True
ETERNAL.NS,Eternal Ltd.,Consumer Services,Consumer Services,Large Cap,India,NSE,ETERNAL.NS,32,True
GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Large Cap,India,NSE,GAIL.NS,33,True
GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,GODREJCP.NS,34,True
GRASIM.NS,Grasim Industries Ltd.,Construction Materials,Construction Materials,Large Cap,India,NSE,GRASIM.NS,35,True
HCLTECH.NS,HCL Technologies Ltd.,Information Technology,Information Technology,Large Cap,India,NSE,HCLTECH.NS,36,True
HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,HDFCAMC.NS,37,True
HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,HDFCBANK.NS,38,True
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,HDFCLIFE.NS,39,True
HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining,Metals & Mining,Large Cap,India,NSE,HINDALCO.NS,40,True
HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,HAL.NS,41,True
HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,HINDUNILVR.NS,42,True
HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining,Metals & Mining,Large Cap,India,NSE,HINDZINC.NS,43,True
HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,HYUNDAI.NS,44,True
ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,ICICIBANK.NS,45,True
ITC.NS,ITC Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,ITC.NS,46,True
INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services,Consumer Services,Large Cap,India,NSE,INDHOTEL.NS,47,True
IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Large Cap,India,NSE,IOC.NS,48,True
